序号,学校名称,所在省,机构/学校编号,所在地市,主管部门,办学层次,办学性质,机构/学校标签,备注2,,,,,,,
1,北京大学,北京市,BJ_001,北京市,教育部,本科,公办,211/985,北京市（92所）,,,,,,,
2,中国人民大学,北京市,BJ_002,北京市,教育部,本科,公办,211/985,,,,,,,,
3,清华大学,北京市,BJ_003,北京市,教育部,本科,公办,211/985,,,,,,,,
4,北京交通大学,北京市,BJ_004,北京市,教育部,本科,公办,211,,,,,,,,
5,北京工业大学,北京市,BJ_005,北京市,北京市,本科,公办,211,,,,,,,,
6,北京航空航天大学,北京市,BJ_006,北京市,工业和信息化部,本科,公办,211/985,,,,,,,,
7,北京理工大学,北京市,BJ_007,北京市,工业和信息化部,本科,公办,211/985,,,,,,,,
8,北京科技大学,北京市,BJ_008,北京市,教育部,本科,公办,211,,,,,,,,
9,北方工业大学,北京市,BJ_009,北京市,北京市,本科,公办,,,,,,,,,
10,北京化工大学,北京市,BJ_010,北京市,教育部,本科,公办,211,,,,,,,,
11,北京工商大学,北京市,BJ_011,北京市,北京市,本科,公办,,,,,,,,,
12,北京服装学院,北京市,BJ_012,北京市,北京市,本科,公办,,,,,,,,,
13,北京邮电大学,北京市,BJ_013,北京市,教育部,本科,公办,211,,,,,,,,
14,北京印刷学院,北京市,BJ_014,北京市,北京市,本科,公办,,,,,,,,,
15,北京建筑大学,北京市,BJ_015,北京市,北京市,本科,公办,,,,,,,,,
16,北京石油化工学院,北京市,BJ_016,北京市,北京市,本科,公办,,,,,,,,,
17,北京电子科技学院,北京市,BJ_017,北京市,中央办公厅,本科,公办,,,,,,,,,
18,中国农业大学,北京市,BJ_018,北京市,教育部,本科,公办,211,,,,,,,,
19,北京农学院,北京市,BJ_019,北京市,北京市,本科,公办,,,,,,,,,
20,北京林业大学,北京市,BJ_020,北京市,教育部,本科,公办,211,,,,,,,,
21,北京协和医学院,北京市,BJ_021,北京市,国家卫生和计划生育委员会,本科,公办,,,,,,,,,
22,首都医科大学,北京市,BJ_022,北京市,北京市,本科,公办,,,,,,,,,
23,北京中医药大学,北京市,BJ_023,北京市,教育部,本科,公办,211,,,,,,,,
24,北京师范大学,北京市,BJ_024,北京市,教育部,本科,公办,211/985,,,,,,,,
25,首都师范大学,北京市,BJ_025,北京市,北京市,本科,公办,,,,,,,,,
26,首都体育学院,北京市,BJ_026,北京市,北京市,本科,公办,,,,,,,,,
27,北京外国语大学,北京市,BJ_027,北京市,教育部,本科,公办,211,,,,,,,,
28,北京第二外国语学院,北京市,BJ_028,北京市,北京市,本科,公办,,,,,,,,,
29,北京语言大学,北京市,BJ_029,北京市,教育部,本科,公办,,,,,,,,,
30,中国传媒大学,北京市,BJ_030,北京市,教育部,本科,公办,211,,,,,,,,
31,中央财经大学,北京市,BJ_031,北京市,教育部,本科,公办,211,,,,,,,,
32,对外经济贸易大学,北京市,BJ_032,北京市,教育部,本科,公办,211,,,,,,,,
33,北京物资学院,北京市,BJ_033,北京市,北京市,本科,公办,,,,,,,,,
34,首都经济贸易大学,北京市,BJ_034,北京市,北京市,本科,公办,,,,,,,,,
35,外交学院,北京市,BJ_035,北京市,外交部,本科,公办,,,,,,,,,
36,中国人民公安大学,北京市,BJ_036,北京市,公安部,本科,公办,,,,,,,,,
37,国际关系学院,北京市,BJ_037,北京市,教育部,本科,公办,,,,,,,,,
38,北京体育大学,北京市,BJ_038,北京市,国家体育总局,本科,公办,211,,,,,,,,
39,中央音乐学院,北京市,BJ_039,北京市,教育部,本科,公办,211,,,,,,,,
40,中国音乐学院,北京市,BJ_040,北京市,北京市,本科,公办,,,,,,,,,
41,中央美术学院,北京市,BJ_041,北京市,教育部,本科,公办,,,,,,,,,
42,中央戏剧学院,北京市,BJ_042,北京市,教育部,本科,公办,,,,,,,,,
43,中国戏曲学院,北京市,BJ_043,北京市,北京市,本科,公办,,,,,,,,,
44,北京电影学院,北京市,BJ_044,北京市,北京市,本科,公办,,,,,,,,,
45,北京舞蹈学院,北京市,BJ_045,北京市,北京市,本科,公办,,,,,,,,,
46,中央民族大学,北京市,BJ_046,北京市,国家民委,本科,公办,211/985,,,,,,,,
47,中国政法大学,北京市,BJ_047,北京市,教育部,本科,公办,211,,,,,,,,
48,华北电力大学,北京市,BJ_048,北京市,教育部,本科,公办,211,,,,,,,,
49,中华女子学院,北京市,BJ_049,北京市,中华妇女联合会,本科,公办,,,,,,,,,
50,北京信息科技大学,北京市,BJ_050,北京市,北京市,本科,公办,,,,,,,,,
51,中国矿业大学（北京）,北京市,BJ_051,北京市,教育部,本科,公办,211,,,,,,,,
52,中国石油大学（北京）,北京市,BJ_052,北京市,教育部,本科,公办,211,,,,,,,,
53,中国地质大学（北京）,北京市,BJ_053,北京市,教育部,本科,公办,,,,,,,,,
54,北京联合大学,北京市,BJ_054,北京市,北京市,本科,公办,,,,,,,,,
55,北京城市学院,北京市,BJ_055,北京市,北京市教委,本科,民办,,,,,,,,,
56,中国青年政治学院,北京市,BJ_056,北京市,共青团中央,本科,公办,,,,,,,,,
57,首钢工学院,北京市,BJ_057,北京市,北京市,本科,公办,,,,,,,,,
58,中国劳动关系学院,北京市,BJ_058,北京市,中华全国总工会,本科,公办,,,,,,,,,
59,北京吉利学院,北京市,BJ_059,北京市,北京市教委,本科,民办,,,,,,,,,
60,首都师范大学科德学院,北京市,BJ_060,北京市,北京市教委,本科,民办,,,,,,,,,
61,北京工商大学嘉华学院,北京市,BJ_061,北京市,北京市教委,本科,民办,,,,,,,,,
62,北京邮电大学世纪学院,北京市,BJ_062,北京市,北京市教委,本科,民办,,,,,,,,,
63,北京工业大学耿丹学院,北京市,BJ_063,北京市,北京市教委,本科,民办,,,,,,,,,
64,北京警察学院,北京市,BJ_064,北京市,北京市,本科,公办,,,,,,,,,
65,北京第二外国语学院中瑞酒店管理学院,北京市,BJ_065,北京市,北京市教委,本科,民办,,,,,,,,,
66,中国科学院大学,北京市,BJ_066,北京市,中国科学院,本科,公办,,,,,,,,,
67,中国社会科学院大学,北京市,BJ_067,北京市,中国社会科学院,本科,公办,,,,,,,,,
68,北京工业职业技术学院,北京市,BJ_068,北京市,北京市,专科,公办,,,,,,,,,
69,北京信息职业技术学院,北京市,BJ_069,北京市,北京市,专科,公办,,,,,,,,,
70,北京电子科技职业学院,北京市,BJ_070,北京市,北京市,专科,公办,,,,,,,,,
71,北京京北职业技术学院,北京市,BJ_071,北京市,北京市,专科,公办,,,,,,,,,
72,北京交通职业技术学院,北京市,BJ_072,北京市,北京市,专科,公办,,,,,,,,,
73,北京青年政治学院,北京市,BJ_073,北京市,北京市,专科,公办,,,,,,,,,
74,北京农业职业学院,北京市,BJ_074,北京市,北京市,专科,公办,,,,,,,,,
75,北京政法职业学院,北京市,BJ_075,北京市,北京市,专科,公办,,,,,,,,,
76,北京财贸职业学院,北京市,BJ_076,北京市,北京市,专科,公办,,,,,,,,,
77,"北京北大方正软件职业技术
学院",北京市,BJ_077,北京市,北京市教委,专科,民办,,,,,,,,,
78,北京经贸职业学院,北京市,BJ_078,北京市,北京市教委,专科,民办,,,,,,,,,
79,北京经济技术职业学院,北京市,BJ_079,北京市,北京市教委,专科,民办,,,,,,,,,
80,北京戏曲艺术职业学院,北京市,BJ_080,北京市,北京市,专科,公办,,,,,,,,,
81,北京汇佳职业学院,北京市,BJ_081,北京市,北京市教委,专科,民办,,,,,,,,,
82,北京科技经营管理学院,北京市,BJ_082,北京市,北京市教委,专科,民办,,,,,,,,,
83,北京科技职业学院,北京市,BJ_083,北京市,北京市教委,专科,民办,,,,,,,,,
84,北京培黎职业学院,北京市,BJ_084,北京市,北京市教委,专科,民办,,,,,,,,,
85,北京经济管理职业学院,北京市,BJ_085,北京市,北京市,专科,公办,,,,,,,,,
86,北京劳动保障职业学院,北京市,BJ_086,北京市,北京市,专科,公办,,,,,,,,,
87,北京社会管理职业学院,北京市,BJ_087,北京市,北京市,专科,公办,,,,,,,,,
88,北京艺术传媒职业学院,北京市,BJ_088,北京市,北京市教委,专科,民办,,,,,,,,,
89,北京体育职业学院,北京市,BJ_089,北京市,北京市,专科,公办,,,,,,,,,
90,北京交通运输职业学院,北京市,BJ_090,北京市,北京市,专科,公办,,,,,,,,,
91,北京卫生职业学院,北京市,BJ_091,北京市,北京市,专科,公办,,,,,,,,,
92,北京网络职业学院,北京市,BJ_092,北京市,北京市教委,专科,民办,,,,,,,,,
93,南开大学,天津市,TJ_001,天津市,教育部,本科,公办,211/985,天津市（57所）,,,,,,,
94,天津大学,天津市,TJ_002,天津市,教育部,本科,公办,211/985,,,,,,,,
95,天津科技大学,天津市,TJ_003,天津市,天津市,本科,公办,211,,,,,,,,
96,天津工业大学,天津市,TJ_004,天津市,天津市,本科,公办,,,,,,,,,
97,中国民航大学,天津市,TJ_005,天津市,交通运输部,本科,公办,,,,,,,,,
98,天津理工大学,天津市,TJ_006,天津市,天津市,本科,公办,,,,,,,,,
99,天津农学院,天津市,TJ_007,天津市,天津市,本科,公办,,,,,,,,,
100,天津医科大学,天津市,TJ_008,天津市,天津市,本科,公办,,,,,,,,,
101,天津中医药大学,天津市,TJ_009,天津市,天津市,本科,公办,,,,,,,,,
102,天津师范大学,天津市,TJ_010,天津市,天津市,本科,公办,,,,,,,,,
103,天津职业技术师范大学,天津市,TJ_011,天津市,天津市,本科,公办,,,,,,,,,
104,天津外国语大学,天津市,TJ_012,天津市,天津市,本科,公办,,,,,,,,,
105,天津商业大学,天津市,TJ_013,天津市,天津市,本科,公办,,,,,,,,,
106,天津财经大学,天津市,TJ_014,天津市,天津市,本科,公办,,,,,,,,,
107,天津体育学院,天津市,TJ_015,天津市,天津市,本科,公办,,,,,,,,,
108,天津音乐学院,天津市,TJ_016,天津市,天津市,本科,公办,,,,,,,,,
109,天津美术学院,天津市,TJ_017,天津市,天津市,本科,公办,,,,,,,,,
110,天津城建大学,天津市,TJ_018,天津市,天津市,本科,公办,,,,,,,,,
111,天津天狮学院,天津市,TJ_019,天津市,天津市教委,本科,民办,,,,,,,,,
112,天津中德应用技术大学,天津市,TJ_020,天津市,天津市,本科,公办,,,,,,,,,
113,天津外国语大学滨海外事学院,天津市,TJ_021,天津市,天津市教委,本科,民办,,,,,,,,,
114,"天津体育学院运动与文化艺术
学院",天津市,TJ_022,天津市,天津市教委,本科,民办,,,,,,,,,
115,天津商业大学宝德学院,天津市,TJ_023,天津市,天津市教委,本科,民办,,,,,,,,,
116,天津医科大学临床医学院,天津市,TJ_024,天津市,天津市教委,本科,民办,,,,,,,,,
117,南开大学滨海学院,天津市,TJ_025,天津市,天津市教委,本科,民办,,,,,,,,,
118,天津师范大学津沽学院,天津市,TJ_026,天津市,天津市教委,本科,民办,,,,,,,,,
119,天津理工大学中环信息学院,天津市,TJ_027,天津市,天津市教委,本科,民办,,,,,,,,,
120,北京科技大学天津学院,天津市,TJ_028,天津市,天津市教委,本科,民办,,,,,,,,,
121,天津大学仁爱学院,天津市,TJ_029,天津市,天津市教委,本科,民办,,,,,,,,,
122,天津财经大学珠江学院,天津市,TJ_030,天津市,天津市教委,本科,民办,,,,,,,,,
123,天津市职业大学,天津市,TJ_031,天津市,天津市,专科,公办,,,,,,,,,
124,天津滨海职业学院,天津市,TJ_032,天津市,天津市,专科,公办,,,,,,,,,
125,天津工程职业技术学院,天津市,TJ_033,天津市,天津市,专科,公办,,,,,,,,,
126,天津青年职业学院,天津市,TJ_034,天津市,天津市,专科,公办,,,,,,,,,
127,天津渤海职业技术学院,天津市,TJ_035,天津市,天津市,专科,公办,,,,,,,,,
128,天津电子信息职业技术学院,天津市,TJ_036,天津市,天津市,专科,公办,,,,,,,,,
129,天津机电职业技术学院,天津市,TJ_037,天津市,天津市,专科,公办,,,,,,,,,
130,天津现代职业技术学院,天津市,TJ_038,天津市,天津市,专科,公办,,,,,,,,,
131,天津公安警官职业学院,天津市,TJ_039,天津市,天津市,专科,公办,,,,,,,,,
132,天津轻工职业技术学院,天津市,TJ_040,天津市,天津市,专科,公办,,,,,,,,,
133,天津商务职业学院,天津市,TJ_041,天津市,天津市,专科,公办,,,,,,,,,
134,天津国土资源和房屋职业学院,天津市,TJ_042,天津市,天津市,专科,公办,,,,,,,,,
135,天津医学高等专科学校,天津市,TJ_043,天津市,天津市,专科,公办,,,,,,,,,
136,天津开发区职业技术学院,天津市,TJ_044,天津市,天津市,专科,公办,,,,,,,,,
137,天津艺术职业学院,天津市,TJ_045,天津市,天津市,专科,公办,,,,,,,,,
138,天津交通职业学院,天津市,TJ_046,天津市,天津市,专科,公办,,,,,,,,,
139,天津冶金职业技术学院,天津市,TJ_047,天津市,天津市,专科,公办,,,,,,,,,
140,天津石油职业技术学院,天津市,TJ_048,天津市,天津市,专科,公办,,,,,,,,,
